BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1C--1D--1H--1S--2D--2H--3C--3D--4H--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--,3D,5+!S
1C--1D--1H--1S--2D--2H--3D--,3H,ASK distrib
1C--1D--1H--1S--2D--2H--3D--3H--,3N,5!S; 1 top-honor
1C--1D--1H--1S--2D--2H--3D--3H--3N--,4C,ASK honor
1C--1D--1H--1S--2D--2H--3D--3H--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--,3S,5+!S; No top-honor
1C--1D--1H--1S--2D--2H--3D--3H--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--,4C,5!S; 2 top-honors
1C--1D--1H--1S--2D--2H--3D--3H--4C--,4D,ASK honors
1C--1D--1H--1S--2D--2H--3D--3H--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--,4D,6+!S; 1 top-honor
1C--1D--1H--1S--2D--2H--3D--3H--4D--,4H,ASK honor
1C--1D--1H--1S--2D--2H--3D--3H--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4D--,5H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--,4H,6+!S; 2 top-honors
1C--1D--1H--1S--2D--2H--3D--3H--4H--,4S,ASK honors
1C--1D--1H--1S--2D--2H--3D--3H--4H--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4H--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4H--,5H,5+!H; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--,4S,5+!S; 3 top-honors
1C--1D--1H--1S--2D--2H--3D--3H--4S--,5C,6+!C; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4S--,5D,6+!D; ASK support
1C--1D--1H--1S--2D--2H--3D--3H--4S--,5H,5+!H; ASK support
1C--1D--1H--1S--,2H,6+ CTRL
1C--1D--1H--1S--2H--,2S,ASK distrib
1C--1D--1H--1S--2H--2S--,2N,*5+!C   *Balanced; 4432; 4333
1C--1D--1H--1S--2H--2S--2N--,3C,ASK distrib
1C--1D--1H--1S--2H--2S--2N--3C--,3D,Balanced; 4432; 4333
1C--1D--1H--1S--2H--2S--2N--3C--3D--,3H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3D--,3N,Baron; bid 4card suits up the line
1C--1D--1H--1S--2H--2S--2N--3C--3D--,3S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3D--,4C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3D--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--,3H,5+!C; No top-honor
1C--1D--1H--1S--2H--2S--2N--3C--3H--,3S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3H--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3H--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--,3N,5!C; 2 top-honors
1C--1D--1H--1S--2H--2S--2N--3C--3N--,4C,ASK honors
1C--1D--1H--1S--2H--2S--2N--3C--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--,3S,5!C; 1 top-honor
1C--1D--1H--1S--2H--2S--2N--3C--3S--,3N,ASK honor
1C--1D--1H--1S--2H--2S--2N--3C--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--,4C,6+!C; 1 top-honor
1C--1D--1H--1S--2H--2S--2N--3C--4C--,4D,ASK honors
1C--1D--1H--1S--2H--2S--2N--3C--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--,4D,6+!C; 2 top-honors
1C--1D--1H--1S--2H--2S--2N--3C--4D--,4H,ASK honors
1C--1D--1H--1S--2H--2S--2N--3C--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--4D--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--,4H,5+!C; 3 top-honors
1C--1D--1H--1S--2H--2S--2N--3C--4H--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--4H--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--2N--3C--4H--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--,3C,*5+!D   *Any 3-suiter
1C--1D--1H--1S--2H--2S--3C--,3D,ASK distrib
1C--1D--1H--1S--2H--2S--3C--3D--,3H,Any 3-suiter
1C--1D--1H--1S--2H--2S--3C--3D--3H--,3S,ASK short
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--,3N,4-4-4-1
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--3N--,4D,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--3N--,4H,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--3N--,4N,ASK single or void
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--3N--,4S,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--,4C,4-4-1-4
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4C--,4H,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4C--,4N,ASK single or void
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4C--,4S,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4C--,5C,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--,4D,4-1-4-4
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4D--,4N,ASK single or void
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4D--,4S,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4D--,5C,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4D--,5D,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--,4H,1-4-4-4
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4H--,4N,ASK single or void
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4H--,5C,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4H--,5D,CAB
1C--1D--1H--1S--2H--2S--3C--3D--3H--3S--4H--,5H,CAB
1C--1D--1H--1S--2H--2S--3C--3D--,3N,5!D; 1 top-honor
1C--1D--1H--1S--2H--2S--3C--3D--3N--,4C,ASK honor
1C--1D--1H--1S--2H--2S--3C--3D--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--,3S,5+!D; No top-honor
1C--1D--1H--1S--2H--2S--3C--3D--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--3S--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--,4C,5!D; 2 top-honors
1C--1D--1H--1S--2H--2S--3C--3D--4C--,4D,ASK honors
1C--1D--1H--1S--2H--2S--3C--3D--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--,4D,6+!D; 1 top-honor
1C--1D--1H--1S--2H--2S--3C--3D--4D--,4H,ASK honor
1C--1D--1H--1S--2H--2S--3C--3D--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4D--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--,4H,6+!D; 2 top-honors
1C--1D--1H--1S--2H--2S--3C--3D--4H--,4S,ASK honors
1C--1D--1H--1S--2H--2S--3C--3D--4H--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4H--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4H--,5S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--,4S,5+!D; 3 top-honors
1C--1D--1H--1S--2H--2S--3C--3D--4S--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4S--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3C--3D--4S--,5S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--,3D,5+!H
1C--1D--1H--1S--2H--2S--3D--,3H,ASK distrib
1C--1D--1H--1S--2H--2S--3D--3H--,3N,5!H; 1 top-honor
1C--1D--1H--1S--2H--2S--3D--3H--3N--,4C,ASK honor
1C--1D--1H--1S--2H--2S--3D--3H--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--3N--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--3N--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--,3S,5+!H; No top-honor
1C--1D--1H--1S--2H--2S--3D--3H--3S--,4C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--3S--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--3S--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--,4C,5!H; 2 top-honors
1C--1D--1H--1S--2H--2S--3D--3H--4C--,4D,ASK honors
1C--1D--1H--1S--2H--2S--3D--3H--4C--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--,4D,6+!H; 1 top-honor
1C--1D--1H--1S--2H--2S--3D--3H--4D--,4H,ASK honor
1C--1D--1H--1S--2H--2S--3D--3H--4D--,4S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--,4H,6+!H; 2 top-honors
1C--1D--1H--1S--2H--2S--3D--3H--4H--,4S,ASK honors
1C--1D--1H--1S--2H--2S--3D--3H--4H--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4H--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4H--,5S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--,4S,5+!H; 3 top-honors
1C--1D--1H--1S--2H--2S--3D--3H--4S--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4S--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3D--3H--4S--,5S,5+!S; ASK support
1C--1D--1H--1S--2H--2S--,3H,5+!S
1C--1D--1H--1S--2H--2S--3H--,3S,ASK distrib
1C--1D--1H--1S--2H--2S--3H--3S--,3N,5+!S; No top-honor
1C--1D--1H--1S--2H--2S--3H--3S--3N--,4C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--3N--,4D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--3N--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--,4C,5!S; 1 top-honor
1C--1D--1H--1S--2H--2S--3H--3S--4C--,4D,ASK honor
1C--1D--1H--1S--2H--2S--3H--3S--4C--,4H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4C--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4C--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--,4D,5!S; 2 top-honors
1C--1D--1H--1S--2H--2S--3H--3S--4D--,4H,ASK honors
1C--1D--1H--1S--2H--2S--3H--3S--4D--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4D--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4D--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--,4H,6+!S; 1 top-honor
1C--1D--1H--1S--2H--2S--3H--3S--4H--,4S,ASK honor
1C--1D--1H--1S--2H--2S--3H--3S--4H--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4H--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4H--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--,4N,5+!S; 3 top-honors
1C--1D--1H--1S--2H--2S--3H--3S--4N--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4N--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4N--,5H,5+!H; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--,4S,6+!S; 2 top-honors
1C--1D--1H--1S--2H--2S--3H--3S--4S--,4N,ASK honors
1C--1D--1H--1S--2H--2S--3H--3S--4S--,5C,6+!C; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4S--,5D,6+!D; ASK support
1C--1D--1H--1S--2H--2S--3H--3S--4S--,5H,5+!H; ASK support
1C--1D--1H--,2C,5+!C; GF
1C--1D--1H--2C--,2D,ASK distrib
1C--1D--1H--2C--2D--,2H,13-15HcP; 5!C; poor
1C--1D--1H--2C--2D--2H--,2S,ASK distrib
1C--1D--1H--2C--2D--2H--2S--,2N,3-3-2-5
1C--1D--1H--2C--2D--2H--2S--,3C,3-2-3-5
1C--1D--1H--2C--2D--2H--2S--,3D,2-3-3-5
1C--1D--1H--2C--2D--2H--2S--,3H,2-2-4-5
1C--1D--1H--2C--2D--2H--,3N,Signoff
1C--1D--1H--2C--2D--,2N,16-18HcP; 5!C; 5332 distribution
1C--1D--1H--2C--2D--2N--,3C,2 where?
1C--1D--1H--2C--2D--2N--3C--,3D,3-3-2-5
1C--1D--1H--2C--2D--2N--3C--,3H,3-2-3-5
1C--1D--1H--2C--2D--2N--3C--,3S,2-3-3-5
1C--1D--1H--2C--2D--2N--,3N,Signoff
1C--1D--1H--2C--2D--2N--,--,To play
1C--1D--1H--2C--2D--,2S,13-15HcP; 5!C; good
1C--1D--1H--2C--2D--2S--,3D,ASK distrib
1C--1D--1H--2C--2D--2S--3D--,3H,3-3-2-5
1C--1D--1H--2C--2D--2S--3D--,3N,2-3-3-5
1C--1D--1H--2C--2D--2S--3D--,3S,3-2-3-5
1C--1D--1H--2C--2D--2S--3D--,4C,2-2-4-5
1C--1D--1H--2C--2D--2S--,3N,Signoff
1C--1D--1H--2C--2D--,3C,13-15HcP; 6+!C
1C--1D--1H--2C--2D--3C--,3D,ASK distrib
1C--1D--1H--2C--2D--3C--3D--,3H,2-2-3-6
1C--1D--1H--2C--2D--3C--3D--,3N,3-2-2-6; 2-2-2-7
1C--1D--1H--2C--2D--3C--3D--,3S,2-3-2-6
1C--1D--1H--2C--2D--3C--,3N,Signoff
1C--1D--1H--2C--2D--3C--,--,To play
1C--1D--1H--2C--2D--,3D,16-18HcP; 2-2-4-5
1C--1D--1H--2C--2D--,3H,16-18HcP; 2-2-4-5
1C--1D--1H--2C--2D--,3N,16-18HcP; 2-2-3-6
1C--1D--1H--2C--2D--,3S,16-18HcP; 3-2-2-6
1C--1D--1H--2C--,3N,Signoff
1C--1D--1H--,2D,5+!D; GF
1C--1D--1H--2D--,2H,ASK distrib
1C--1D--1H--2D--2H--,2N,13-15HcP; 5!D; good
1C--1D--1H--2D--2H--2N--,3C,ASK distrib
1C--1D--1H--2D--2H--2N--3C--,3D,3-3-5-2
1C--1D--1H--2D--2H--2N--3C--,3H,3-2-5-3
1C--1D--1H--2D--2H--2N--3C--,3N,2-2-5-4
1C--1D--1H--2D--2H--2N--3C--,3S,2-3-5-3
1C--1D--1H--2D--2H--2N--,3N,Signoff
1C--1D--1H--2D--2H--,2S,13-15HcP; 5!D; poor
1C--1D--1H--2D--2H--2S--,3C,ASK distrib
1C--1D--1H--2D--2H--2S--3C--,3D,3-3-5-2
1C--1D--1H--2D--2H--2S--3C--,3H,3-2-5-3
1C--1D--1H--2D--2H--2S--3C--,3N,2-2-5-4
1C--1D--1H--2D--2H--2S--3C--,3S,2-3-5-3
1C--1D--1H--2D--2H--2S--,3N,Signoff
1C--1D--1H--2D--2H--,3C,16-18HcP.  *5!D332   *2-2-5-4 
1C--1D--1H--2D--2H--3C--,3D,2 where?
1C--1D--1H--2D--2H--3C--3D--,3H,3-3-5-2
1C--1D--1H--2D--2H--3C--3D--,3N,2!S; *2-3-5-3   *2-2-5-4
1C--1D--1H--2D--2H--3C--3D--,3S,3-2-5-3
1C--1D--1H--2D--2H--3C--,3N,Signoff
1C--1D--1H--2D--2H--,3D,13-15HcP; 6+!D
1C--1D--1H--2D--2H--3D--,3H,ASK distrib
1C--1D--1H--2D--2H--3D--3H--,3N,2-3-6-2
1C--1D--1H--2D--2H--3D--3H--,3S,2-2-6-3
1C--1D--1H--2D--2H--3D--3H--,4C,3-2-6-2
1C--1D--1H--2D--2H--3D--3H--,4D,2-2-7-2
1C--1D--1H--2D--2H--3D--,3N,Signoff
1C--1D--1H--2D--2H--,3H,16-18HcP; 2-3-6-2
1C--1D--1H--2D--2H--,3N,16-18HcP; 2-2-6-3
1C--1D--1H--2D--2H--,3S,16-18HcP; 3-2-6-2
1C--1D--1H--2D--,3N,Signoff
1C--1D--1H--,2H,5+!H; GF
1C--1D--1H--2H--,2S,ASK distrib
1C--1D--1H--2H--2S--,2N,13-18HcP; 5!H + 2!S
1C--1D--1H--2H--2S--2N--,3C,ASK distrib
1C--1D--1H--2H--2S--2N--3C--,3D,2-5-4-2
1C--1D--1H--2H--2S--2N--3C--,3H,2-5-2-4
1C--1D--1H--2H--2S--2N--3C--,3S,2-5-3-3
1C--1D--1H--2H--2S--2N--,3D,ASK range
1C--1D--1H--2H--2S--2N--3D--,3H,minimum
1C--1D--1H--2H--2S--2N--3D--,3S,MAXIMUM
1C--1D--1H--2H--2S--2N--,3H,!H SLAB 13-18\\
1C--1D--1H--2H--2S--2N--,3N,Signoff
1C--1D--1H--2H--2S--2N--,3S,!S SLAB 13-18
1C--1D--1H--2H--2S--2N--,4D,END signal
1C--1D--1H--2H--2S--,3C,13-15HcP; 5!H + 3!S
1C--1D--1H--2H--2S--3C--,3D,!H SLAB 13-18
1C--1D--1H--2H--2S--3C--,3H,!S SLAB 13-18
1C--1D--1H--2H--2S--3C--,3N,Signoff
1C--1D--1H--2H--2S--3C--,4D,END signal
1C--1D--1H--2H--2S--,3D,13-15HcP; 5!H + 4!S
1C--1D--1H--2H--2S--3D--,3H,!H SLAB 13-18
1C--1D--1H--2H--2S--3D--,3N,Signoff
1C--1D--1H--2H--2S--3D--,3S,!S SLAB 13-18
1C--1D--1H--2H--2S--3D--,4D,END signal
1C--1D--1H--2H--2S--,3H,13-15HcP; 6+!H + 2!S
1C--1D--1H--2H--2S--3H--,3N,Signoff
1C--1D--1H--2H--2S--3H--,3S,ASK distrib
1C--1D--1H--2H--2S--3H--3S--,3N,2-6-2-3; 2-6-3-2
1C--1D--1H--2H--2S--3H--3S--3N--,4C,!H SLAB 13-18
1C--1D--1H--2H--2S--3H--3S--3N--,4D,END signal
1C--1D--1H--2H--2S--3H--3S--3N--,4H,!S SLAB 13-18
1C--1D--1H--2H--2S--3H--3S--,4C,2-7-2-2
1C--1D--1H--2H--2S--3H--3S--4C--,4D,END signal
1C--1D--1H--2H--2S--3H--3S--4C--,4H,!H SLAB 13-18
1C--1D--1H--2H--2S--3H--3S--4C--,4S,!S SLAB 13-18
1C--1D--1H--2H--2S--3H--,4C,!H SLAB 13-18
1C--1D--1H--2H--2S--3H--,4D,END signal
1C--1D--1H--2H--2S--3H--,4H,!S SLAB 13-18
1C--1D--1H--2H--2S--,3N,16-18HcP; 5!H + 3!S
1C--1D--1H--2H--2S--3N--,4C,!H SLAB 13-18
1C--1D--1H--2H--2S--3N--,4D,END signal
1C--1D--1H--2H--2S--3N--,4H,!S SLAB 13-18
1C--1D--1H--2H--2S--,3S,13-15HcP; 6!H + 3!S
1C--1D--1H--2H--2S--3S--,3N,Signoff
1C--1D--1H--2H--2S--3S--,4C,!H SLAB 13-18
1C--1D--1H--2H--2S--3S--,4D,END signal
1C--1D--1H--2H--2S--3S--,4H,!S SLAB 13-18
1C--1D--1H--2H--2S--,4C,16-18HcP; 5!H + 4!S
1C--1D--1H--2H--2S--4C--,4D,END signal
1C--1D--1H--2H--2S--4C--,4H,!H SLAB 13-18
1C--1D--1H--2H--2S--4C--,4S,!S SLAB 13-18
1C--1D--1H--2H--2S--,4D,16-18HcP; 6!H + 2!S
1C--1D--1H--2H--2S--4D--,4H,Signoff
1C--1D--1H--2H--2S--4D--,4N,!H SLAB 13-18
1C--1D--1H--2H--2S--4D--,4S,Signoff
1C--1D--1H--2H--2S--4D--,5C,!S SLAB 13-18
1C--1D--1H--2H--2S--,4H,16-18HcP; 6!H + 3!S
1C--1D--1H--2H--2S--4H--,4N,!H SLAB 13-18
1C--1D--1H--2H--2S--4H--,4S,Signoff
1C--1D--1H--2H--2S--4H--,5C,!S SLAB 13-18
1C--1D--1H--2H--2S--4H--,--,To play
1C--1D--1H--,2N,16-18HcP; 4432; 4333
1C--1D--1H--2N--,3C,Stayman
1C--1D--1H--2N--3C--,3D,No 4card MAJOR
1C--1D--1H--2N--3C--3D--,3H,!H SLAB 13-18 
1C--1D--1H--2N--3C--3D--,3N,Signoff
1C--1D--1H--2N--3C--3D--,3S,!S SLAB 13-18 
1C--1D--1H--2N--3C--3D--,4D,END signal
1C--1D--1H--2N--3C--,3H,4!H; 3-4-3-3
1C--1D--1H--2N--3C--3H--,3N,Signoff
1C--1D--1H--2N--3C--3H--,3S,!H SLAB 13-18 
1C--1D--1H--2N--3C--3H--,4C,!S SLAB 13-18 
1C--1D--1H--2N--3C--3H--,4D,END signal
1C--1D--1H--2N--3C--,3N,4-4-2-3; 4-4-3-2
1C--1D--1H--2N--3C--3N--,4C,!H SLAB 13-18 
1C--1D--1H--2N--3C--3N--,4D,END signal
1C--1D--1H--2N--3C--3N--,4H,!S SLAB 13-18 
1C--1D--1H--2N--3C--3N--,--,To play
1C--1D--1H--2N--3C--,3S,4!S; 4-3-3-3
1C--1D--1H--2N--3C--3S--,3N,Signoff
1C--1D--1H--2N--3C--3S--,4C,!S SLAB 13-18 
1C--1D--1H--2N--3C--3S--,4D,END signal
1C--1D--1H--2N--3C--3S--,4H,!H SLAB 13-18 
1C--1D--1H--,2S,5+!S; GF
1C--1D--1H--2S--,2N,ASK distrib
1C--1D--1H--2S--2N--,3C,13-18HcP; 5!S + 2!H
1C--1D--1H--2S--2N--3C--,3D,ASK distrib
1C--1D--1H--2S--2N--3C--3D--,3H,5-2-4-2
1C--1D--1H--2S--2N--3C--3D--,3N,5-2-3-3
1C--1D--1H--2S--2N--3C--3D--,3S,5-2-2-4
1C--1D--1H--2S--2N--3C--,3H,ASK range
1C--1D--1H--2S--2N--3C--3H--,3N,MAXIMUM
1C--1D--1H--2S--2N--3C--3H--,3S,minimum
1C--1D--1H--2S--2N--3C--,3N,Signoff
1C--1D--1H--2S--2N--3C--,4H,Signoff
1C--1D--1H--2S--2N--3C--,4S,Signoff
1C--1D--1H--2S--2N--,3D,13-15HcP; 5!S + 3-4!H
1C--1D--1H--2S--2N--3D--,3H,!S SLAB 13-18
1C--1D--1H--2S--2N--3D--,3N,Signoff
1C--1D--1H--2S--2N--3D--,3S,!H SLAB 13-18
1C--1D--1H--2S--2N--3D--,4D,END signal
1C--1D--1H--2S--2N--,3H,13-15HcP; 6+!S  +  2!H
1C--1D--1H--2S--2N--3H--,3N,Signoff
1C--1D--1H--2S--2N--3H--,3S,ASK distrib
1C--1D--1H--2S--2N--3H--3S--,3N,6-2-2-3; 6-2-3-2
1C--1D--1H--2S--2N--3H--3S--3N--,4C,!S SLAB 13-18
1C--1D--1H--2S--2N--3H--3S--3N--,4D,END signal
1C--1D--1H--2S--2N--3H--3S--3N--,4H,!H SLAB 13-18
1C--1D--1H--2S--2N--3H--3S--3N--,--,To play
1C--1D--1H--2S--2N--3H--3S--,4C,7-2-2-2
1C--1D--1H--2S--2N--3H--3S--4C--,4D,END signal
1C--1D--1H--2S--2N--3H--3S--4C--,4H,!S SLAB 13-18
1C--1D--1H--2S--2N--3H--3S--4C--,4S,!H SLAB 13-18
1C--1D--1H--2S--2N--3H--,4C,!S SLAB 13-18
1C--1D--1H--2S--2N--3H--,4D,END signal
1C--1D--1H--2S--2N--3H--,4H,!H SLAB 13-18
1C--1D--1H--2S--2N--,3N,16-18HcP; 5!S + 3!H
1C--1D--1H--2S--2N--3N--,4C,!S SLAB 13-18
1C--1D--1H--2S--2N--3N--,4D,END signal
1C--1D--1H--2S--2N--3N--,4H,!H SLAB 13-18
1C--1D--1H--2S--2N--3N--,--,To play
1C--1D--1H--2S--2N--,3S,13-15HcP; 6!S + 3!H
1C--1D--1H--2S--2N--3S--,3N,Signoff
1C--1D--1H--2S--2N--3S--,4C,!S SLAB 13-18
1C--1D--1H--2S--2N--3S--,4D,END signal
1C--1D--1H--2S--2N--3S--,4H,!H SLAB 13-18
1C--1D--1H--2S--2N--,4C,16-18HcP; 5!S + 4!H
1C--1D--1H--2S--2N--4C--,4D,END signal
1C--1D--1H--2S--2N--4C--,4H,!S SLAB 13-18
1C--1D--1H--2S--2N--4C--,4S,!H SLAB 13-18
1C--1D--1H--2S--2N--,4D,16-18HcP; 6!S + 2!H
1C--1D--1H--2S--2N--4D--,4H,Signoff
1C--1D--1H--2S--2N--4D--,4N,!S SLAB 13-18
1C--1D--1H--2S--2N--4D--,4S,Signoff
1C--1D--1H--2S--2N--4D--,5C,!H SLAB 13-18
1C--1D--1H--2S--2N--,4H,16-18HcP; 6!S + 3!H
1C--1D--1H--2S--2N--4H--,4N,!S SLAB 13-18
1C--1D--1H--2S--2N--4H--,4S,Signoff
1C--1D--1H--2S--2N--4H--,5C,!H SLAB 13-18
1C--1D--1H--2S--2N--4H--,--,To play
1C--1D--1H--,3C,16-18HcP; 2-2-2-7
1C--1D--1H--3C--,3D,!C SLAB 13-18
